[INFO|<ipython-input-1-e3953225126b>:31] 2018-03-10 22:03:28,136 > TEST START
[WARNING|<ipython-input-1-e3953225126b>:32] 2018-03-10 22:03:28,145 > 스트림으로 로그가 남아요~
[ERROR|<ipython-input-1-e3953225126b>:33] 2018-03-10 22:03:28,150 > 파일로도 남으니 안심이죠~!
[CRITICAL|<ipython-input-1-e3953225126b>:34] 2018-03-10 22:03:28,154 > 치명적인 버그는 꼭 파일로 남기기도 하고 메일로 발송하세요!
[INFO|<ipython-input-1-e3953225126b>:35] 2018-03-10 22:03:28,158 > TEST END!
[INFO|<ipython-input-2-e3953225126b>:31] 2018-03-10 22:10:22,010 > TEST START
[INFO|<ipython-input-2-e3953225126b>:31] 2018-03-10 22:10:22,010 > TEST START
[WARNING|<ipython-input-2-e3953225126b>:32] 2018-03-10 22:10:22,014 > 스트림으로 로그가 남아요~
[WARNING|<ipython-input-2-e3953225126b>:32] 2018-03-10 22:10:22,014 > 스트림으로 로그가 남아요~
[ERROR|<ipython-input-2-e3953225126b>:33] 2018-03-10 22:10:22,018 > 파일로도 남으니 안심이죠~!
[ERROR|<ipython-input-2-e3953225126b>:33] 2018-03-10 22:10:22,018 > 파일로도 남으니 안심이죠~!
[CRITICAL|<ipython-input-2-e3953225126b>:34] 2018-03-10 22:10:22,021 > 치명적인 버그는 꼭 파일로 남기기도 하고 메일로 발송하세요!
[CRITICAL|<ipython-input-2-e3953225126b>:34] 2018-03-10 22:10:22,021 > 치명적인 버그는 꼭 파일로 남기기도 하고 메일로 발송하세요!
[INFO|<ipython-input-2-e3953225126b>:35] 2018-03-10 22:10:22,025 > TEST END!
[INFO|<ipython-input-2-e3953225126b>:35] 2018-03-10 22:10:22,025 > TEST END!
[INFO|<ipython-input-3-22a43e0bdf1b>:31] 2018-03-10 22:20:30,912 > TEST START
[INFO|<ipython-input-3-22a43e0bdf1b>:31] 2018-03-10 22:20:30,912 > TEST START
2018-03-10 22:20:30,912 - [INFO|<ipython-input-3-22a43e0bdf1b>:31] : TEST START
[WARNING|<ipython-input-3-22a43e0bdf1b>:32] 2018-03-10 22:20:30,924 > 스트림으로 로그가 남아요~
[WARNING|<ipython-input-3-22a43e0bdf1b>:32] 2018-03-10 22:20:30,924 > 스트림으로 로그가 남아요~
